site,type1,type2,type3,notes,location,source
gangstergovernment.com,Conspiracy,Bias,,,,OpenSources
gatesofvienna.net,Hate,Conspiracy,,,,OpenSources
geoengineeringwatch.org,Junksci,Conspiracy,,,,OpenSources
geopolmonitor.com,Political,,,this website is tricky (in terms of writers using some interesting frames/language). def could use a second analysis.,,OpenSources
givemeliberity01.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
givemeliberty01.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
glaringhypocrisy.com,Hate,Conspiracy,,"references to ""Jew World Order""",,OpenSources
globalpoliticsnow.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
globalpoliticsnow.com,Fake news,,,,"Kumanovo, Macedonia",Politifact
globalresearch.ca,Conspiracy,,,,,OpenSources
glossynews.com,Satire,,,,,OpenSources
godlikeproductions.com,Conspiracy,,,,,OpenSources
gomerblog.com,Satire,,,site contains satire disclaimer ,,OpenSources
goneleft.com,Fake news,,,,,OpenSources
gopthedailydose.com,Fake news,Conspiracy,Bias,,,OpenSources
govtslaves.info,Conspiracy,,,,,OpenSources
greanvillepost.com,Conspiracy,,, ,,OpenSources
greenmedinfo.com,Junksci,,,,,OpenSources
guardianlv.com,Political,,,,,OpenSources
guccifer2.wordpress.com,Unreliable,,,,,OpenSources
gulagbound.com,Bias, ,,,,OpenSources
gummypost.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
gummypost.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
hangthebankers.com,Conspiracy, ,,,,OpenSources
healthimpactnews.com,Junksci,Bias,,,,OpenSources
healthnutnews.com,Junksci,,,,,OpenSources
healthy-holistic-living.com,Junksci,Clickbait,,,,OpenSources
healthycareandbeauty.com,Fake news,Unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
healthycareandbeauty.com,Some fake stories,,,,"Berlin, Germany",Politifact
healthyworldhouse.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
healthyworldhouse.com,Fake news,,,,"Kumanovo, Macedonia",Politifact
heartland.org,Bias,,,http://www.sourcewatch.org/index.php/Heartland_Institute,,OpenSources
heatst.com,Clickbait,Bias,,,,OpenSources
henrymakow.com,Conspiracy, ,,,,OpenSources
heresyblog.net,Bias,Conspiracy,Rumour,,,OpenSources
heritage.org,Political,,,,,OpenSources
holyobserver.com,Satire,,,,,OpenSources
horowitzfreedomcenter.org,Bias,,,,,OpenSources
houstonchronicle-tv.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
humansarefree.com,Conspiracy,,,,,OpenSources
humortimes.com,Satire,,,,,OpenSources
huzlers.com,Satire,,,,,OpenSources
icr.org,Junksci,,,,,OpenSources
ifyouonlynews.com,Unreliable,Satire,,,,OpenSources
ihavethetruth.com,Bias,Clickbait,Fake news,,,OpenSources
ihr.org,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
ijr.com,Political,Bias,Unreliable,,,OpenSources
illuminati-news.com,Conspiracy,,,,,OpenSources
ilovemyfreedom.org,Bias,Clickbait,,,,OpenSources
ilovenativeamericans.us,Some fake stories,,,,"Kosovo, Serbia",Politifact
immediatesafety.org,Fake news,,,https://immediatesafety.org/dnc-to-hand-debbie-wasserman-schultz-over-to-isis-for-beheadding/,,OpenSources
in5d.com,Junksci,,,,,OpenSources
indiaarising.com,Clickbait,Unreliable,,,,OpenSources
infiniteunknown.net,Conspiracy,,,"""9/11 was an inside job""",,OpenSources
informationclearinghouse.info,Conspiracy,Unreliable,,,,OpenSources
informetoday.com,Bias,Unreliable,,,,OpenSources
infostormer.com,Fake news,Hate,Conspiracy,,,OpenSources
infowars.com,Conspiracy,,,,,OpenSources
instaworldnews.com,Bias,,,,,OpenSources
intellihub.com,Conspiracy,Unreliable,,,,OpenSources
interestingdailynews.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
interestingdailynews.com,Fake news,,,,"Orem, Utah~",Politifact
intrendtoday.com,Fake news,Clickbait,,,,OpenSources
intrepidreport.com,Bias,,,,,OpenSources
investmentresearchdynamics.com,Conspiracy,,,,,OpenSources
investmentwatchblog.com,Bias,Fake news,,,,OpenSources
ironictimes.com,Satire,,,,,OpenSources
islamicanews.com,Satire,,,,,OpenSources
isthatlegit.com,Fake news,,,,"Toronto, Canada !!!",Politifact
itaglive.com,Fake news,,,,,OpenSources
itccs.org,Conspiracy,,,,,OpenSources
itmakessenseblog.com,Fake news,,,,,OpenSources
iwanttoexplore.com,Fake news,,,mostly turned back into car website,,OpenSources
jackpineradicals.com,Political,,,left wing discussion site,,OpenSources
jacobinmag.com,Political,,,,,OpenSources
jamesrgrangerjr.com,Bias,,,,,OpenSources
jesus-is-savior.com,Conspiracy,,,,,OpenSources
jewsnews.co.il,Some fake stories,,,,"Shiloh, Israel",Politifact
jewsnews.co.il,Unreliable,Bias,Fake news,,,OpenSources
jihadwatch.org,Conspiracy,Hate,,,,OpenSources
johnnyrobish.com,Satire,,,,,OpenSources
jonesreport.com,Conspiracy,,,,,OpenSources
journal-neo.org,Bias,,,,,OpenSources
judicialwatch.org,Political,,,,,OpenSources
katehon.com,Bias,,,,,OpenSources
kmt11.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
kmt11.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
knowledgeoftoday.org,Conspiracy,,,http://www.knowledgeoftoday.org/2012/02/illuminati-secret-hidden-from-masses.html,,OpenSources
konkonsagh.biz,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
konkonsagh.biz,Fake news,,,,"Ashanti, Ghana",Politifact
krbcnews.com,Fake news,,,,,OpenSources
ky12news.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
ky12news.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
ladylibertynews.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
ladylibertysnews.com,Fake news,,,,"Kirkland, Wash.***",Politifact
landoverbaptist.org,Satire,,,,,OpenSources
lastdeplorables.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
lastdeplorables.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
learnprogress.org,Fake news,Bias,,http://www.learnprogress.org/white-house-website-sell-jewelry/,,OpenSources
learnprogress.org,Some fake stories,,,,"Scottsdale, Ariz. **",Politifact
lewrockwell.com,Bias,Unreliable,Political,,,OpenSources
liberalamerica.org,Clickbait,Bias,,,,OpenSources
liberalbias.com,Satire,,,,,OpenSources
liberaldarkness.com,Satire,Fake news,,,,OpenSources
liberalplug.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
liberalplug.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
liberty-courier.com,Fake news,,,,"Orem, Utah~",Politifact
libertyalliance.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
libertyalliance.com,Fake news,,,,"Dallas, Ga. ",Politifact
libertyblitzkrieg.com,Fake news,,,,,OpenSources
libertyfederation.com,Hate,,,,,OpenSources
libertymovementradio.com,Conspiracy,,,,,OpenSources
libertynews.com,Unreliable,Bias,,,,OpenSources
libertytalk.fm,Conspiracy,,,,,OpenSources
libertyunyielding.com,Bias,,,,,OpenSources
libertyvideos.org,Conspiracy,,,,,OpenSources
libertywritersnews.com,Clickbait,Bias,Unreliable,,,OpenSources
lifeandabout.com,Bias,,,,,OpenSources
lifenews.com,Bias,Clickbait,,,,OpenSources
lifeprevention.com,Junksci,,,,,OpenSources
lifesitenews.com,Clickbait,Bias,,,,OpenSources
lifezette.com,Clickbait,,,,,OpenSources
liveactionnews.org,Bias,,,,,OpenSources
livevote.com,Clickbait,,,,,OpenSources
loanpride.com,Rumour,Clickbait,,http://loanpride.com/obama-family-divorce-attorney-quit-smoking-tips/?utm_source=revcontent&utm_medium=56198&utm_term=conservative%20news&utm_content=1770992&utm_campaign=234718&utm_widget_id=56198,,OpenSources
local31news.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
local31news.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
lovethispic.com,Clickbait,Junksci,,,,OpenSources
lushforlife.com,Satire,,,,,OpenSources
mad-yet.blogspot.com,Unreliable,,,"links to real news stories, but also some questionable/decontextualized images",,OpenSources
madpatriots.com,Unreliable,Clickbait,,,,OpenSources
madworldnews.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
madworldnews.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
madworldnews.com,Unreliable,Hate,,,,OpenSources
madworldnews.com,Unreliable,Clickbait,,,,OpenSources
magafeed.com,Rumour,Bias,Fake news,"""god/emperor"" category for trump",,OpenSources
maganews.co,Fake news,,,,,OpenSources
majorthoughts.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
majorthoughts.com,Fake news,,,,"Sunrise, Fla. ",Politifact
makeamericagreattoday.com,Bias,Fake news,,,,OpenSources
meanlefthook.com,Bias,Clickbait,,,,OpenSources
mediamass.net,Fake news,,,,,OpenSources
mediazone.news,Rumour,Unreliable,,,,OpenSources
megafreshnews.com,Rumour,,,,,OpenSources
megynkelly.us,Fake news,,,,,OpenSources
mentor2day.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
mentor2day.com,Some fake stories,,,,"Scottsdale, Ariz. **",Politifact
metropolitanworlds.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
metropolitanworlds.com,Fake news,,,,"Accra, Ghana",Politifact
militianews.com,Conspiracy,Bias,Hate,,,OpenSources
mintpressnews.com,Political,,,legit source form a Political perspective,,OpenSources
mississippiherald.com,Imposter site,,,,"Toronto, Canada !!!",Politifact
molonlabemedia.com,Bias,Conspiracy,,,,OpenSources
moonofalabama.org,Bias,,,,,OpenSources
morningledger.com,Unreliable,Conspiracy,,,,OpenSources
morningnewsusa.com,Unreliable,,,"stories seem to originate from real news, but are somewhat Clickbait-y and sources are not cited",,OpenSources
mpidailymagazine.com,Fake news,Bias,,,,OpenSources
mrc.org,Political,Bias,,,,OpenSources
mrconservative.com,Fake news,Satire,,,,OpenSources
msnbc.website,Fake news,,,,,OpenSources
myfreshnews.com,Fake news,Bias,,found linked from iwanttoexplore.com,,OpenSources
myzonetoday.com,Fake news,Bias,,,,OpenSources
nahadaily.com,Satire,,,,,OpenSources
nakedcapitalism.com,Political,,,"commentary on finance, economics, politics and power",,OpenSources
nasamoonhoax.com,Conspiracy,,,,,OpenSources
nationalreport.net,Parody site,,,,"Scottsdale, Ariz. **",Politifact
nationalreport.net,Satire,Fake news,,,,OpenSources
nationalreview.com,Political,,,,,OpenSources
nationalufocenter.com,Conspiracy,,,,,OpenSources
nationalvanguard.org,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
nationindistress.weebly.com,Conspiracy,,,,,OpenSources
nationonenews.com,Fake news,Conspiracy,,,,OpenSources
nativeamericans.us,Some fake stories,,,,"Cary, N.C.",Politifact
naturalblaze.com,Junksci,Conspiracy,,,,OpenSources
naturalnews.com,Junksci,Conspiracy,,,,OpenSources
naturalnewsblogs.com,Junksci,,,,,OpenSources
nbc.com.co,Fake news,,,,,OpenSources
nbc.com.co,Imposter site,,,,"Phoenix, Ariz.",Politifact
ncscooper.com,Satire,,,,,OpenSources
neonnettle.com,Conspiracy,Fake news,Bias,http://www.neonnettle.com/features/732-pizzagate-worldwide-pedophile-ring-bust-begins-media-remains-silent-,,OpenSources
neonnettle.com,Fake news,,,,"Toronto, Canada !!!",Politifact
nephef.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
nephef.com,Fake news,,,,"Panama, Pa.*",Politifact
nevo.news,Unreliable,Bias,,,,OpenSources
newcenturytimes.com,Unreliable,Bias,,,,OpenSources
newcoldwar.org,Political,,,"contains Statement that site authors are ""independent, but not non-partisan"" (anti-war (Ukraine))",,OpenSources
newpoliticstoday.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
newpoliticstoday.com,Fake news,,,,"Kumanovo, Macedonia",Politifact
news4ktla.com,Fake news,Satire,,,,OpenSources
news4ktla.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
newsbbc.net,Fake news,,,,,OpenSources
newsbiscuit.com,Satire,,,http://www.newsbiscuit.com/about/disclaimer/ ,,OpenSources
newsbreakers.org,Satire,,,,,OpenSources
newsbreakingspipe.com,Fake news,,,,"Limassol, Cyprus",Politifact
newsbreakshere.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
newsbreakshere.com,Fake news,,,,"Chesterbrook, Pa.^",Politifact
newsbysquad.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
newsbysquad.com,Fake news,,,,"Panama, Pa. *",Politifact
newscorpse.com,Political, , ,http://www.newscorpse.com/ncWP/?p=34163,,OpenSources
newsdaily12.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
newsdaily12.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
newsexaminer.net,Fake news,Satire, ,,,OpenSources
newsexaminer.net,Fake news,,,,"Nobby Beach, Australia !!",Politifact
newsfrompolitics.com,Fake news,,,,,OpenSources
newsjustforyou1.blogspot.com,Fake news,,,,"Mountain View, Calif.",Politifact
newsleak.co,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
newsleak.co,Fake news,,,,"Tblisi, Georgia",Politifact
newslo.com,Fake news,,,redirects to http://politicops.com/ (12/2),,OpenSources
newslo.com,Parody site,,,,"Thessaloniki, Greece",Politifact
newslogue.com,Bias,Fake news,,,,OpenSources
newsmagazine.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
newsmax.com,Unreliable,Bias,,,,OpenSources
newsmutiny.com,Satire,Fake news,,,,OpenSources
newsninja2012.com,Bias, ,,,,OpenSources
newstarget.com,Conspiracy,,,,,OpenSources
newsthump.com,Satire,,,site contains satire disclaimer,,OpenSources
newstoad.net,Satire,,,Tagline: The news they don't want you to hear. Because it isn't true.,,OpenSources
newswatch28.com,Fake news,,,,,OpenSources
newswatch33.com,Fake news,,,,,OpenSources
newswire-24.com,Rumour,Unreliable,,,,OpenSources
newswithviews.com,Fake news,Conspiracy,,,,OpenSources
newyorker.com/humor,Satire,,,,,OpenSources
newzmagazine.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
nodisinfo.com,Conspiracy,Unreliable,,,,OpenSources
nomorefakenews.com,Conspiracy,,,,,OpenSources
northcrane.com,Unreliable,,,,,OpenSources
notallowedto.com,Clickbait,Fake news,,,,OpenSources
notallowedto.com,Fake news,,,,https://www.whois.com/whois/notallowedto.com,Politifact
now8news.com,Fake news,,,,,OpenSources
now8news.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
nowtheendbegins.com,Conspiracy,,,,,OpenSources
npiamerica.org,Hate,Bias,,white supremacist think tank,,OpenSources
nutritionalanarchy.com,Unreliable,,,,,OpenSources
nutritionfacts.org,reliable,,,"I read through several articles and the sources cited, and appears ok (maybe sometimes a little sensational... so if anyone has specific knowledge of this site and/or good examples of problems, feel free to link them here)",,OpenSources
nymeta.co,Clickbait,Satire,,Entertainment website ,,OpenSources
oann.com,Political,reliable,,,,OpenSources
oathkeepers.org,Bias,,,https://www.splcenter.org/fighting-Hate/extremist-files/group/oath-keepers,,OpenSources
objectiveministries.org,Satire,,,,,OpenSources
observer.com,Political,,,"vacillates between some pieces that are ""bias"" and others that are ""reliable""",,OpenSources
occupy.com,Political,,,,,OpenSources
occupydemocrats.com,Clickbait,Bias,Unreliable,,,OpenSources
occupydemocrats.com,Fake news,,,,"Langhorne, Pa. ",Politifact
occupyliberals.com,Bias,Clickbait,,,,OpenSources
off-guardian.org,Bias,Conspiracy,,,,OpenSources
offgridsurvival.com,Conspiracy,Bias,,http://offgridsurvival.com/shadowgovernmentwars/,,OpenSources
oftwominds.com,Bias,Conspiracy,,,,OpenSources
oilgeopolitics.net,Conspiracy,,,,,OpenSources
onepoliticalplaza.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
onepoliticalplaza.com,Fake news,,,,"Miami, Fla.^^^",Politifact
onlineconservativepress.com,Fake news,Conspiracy,Bias,,,OpenSources
openmagazines.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
openmagazines.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
openmindmagazine.com,Bias,Conspiracy,,,,OpenSources
orientalreview.org,Bias,Conspiracy,,,,OpenSources
other98.com,Clickbait,Bias,Unreliable,,,OpenSources
pakalertpress.com,Fake news,,,,,OpenSources
palmerreport.com,Bias,,,,,OpenSources
pamelageller.com,Conspiracy,Fake news,Bias,,,OpenSources
patdollar.com,Bias,Clickbait,,,,OpenSources
patriotchronicle.com,Bias,Clickbait,,,,OpenSources
patriotnewsdaily.com,Bias,,,,,OpenSources
patriotnewsdaily.com,Satire,,,,,OpenSources
patriotpost.us,Bias, ,,https://mediabiasfactcheck.com/the-patriot-post/ ; https://patriotpost.us/posts/48002 ; https://patriotpost.us/alexander/48000,,OpenSources
patriotrising.com,Bias,Conspiracy,,,,OpenSources
patriotupdate.com,Bias,Conspiracy,,,,OpenSources
paulcraigroberts.org,Bias,Conspiracy,,ex: http://www.paulcraigroberts.org/2016/12/10/has-liberty-departed-from-america-paul-craig-roberts/ ,,OpenSources
pjmedia.com,Political,Bias,,"https://mediabiasfactcheck.com/pj-media/ ;  https://pjmedia.com/about-us (ground zero mosque, 'doctored climate change data')",,OpenSources
platosguns.com,Bias,Conspiracy,Bias,,,OpenSources
politicalblindspot.com,Conspiracy,Junksci,,ex: vaccines are a way for the CIA to spy on us,,OpenSources
politicalcult.com,Bias,Clickbait,Conspiracy,,,OpenSources
politicalears.com,Unreliable,Clickbait,,,,OpenSources
politicalo.com,Fake news, ,,,,OpenSources
politicalo.com,Parody site,,,,"Jerusalem, Israel",Politifact
politicalsitenews.com,Fake news,,, ,,OpenSources
politicalupdator.com,Fake news,Clickbait,Bias,,,OpenSources
politicass.com,Parody site,,,,"Jerusalem, Israel",Politifact
politicono.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
politicono.com,Parody site,,,,"Jerusalem, Israel",Politifact
politicops.com,Parody site,,,,"Jerusalem, Israel",Politifact
politicops.com,Satire,Fake news,,redirects to Newslo,,OpenSources
politicot.com,Parody site,,,,"Jerusalem, Israel",Politifact
politicot.com,Satire,Fake news,,redirects to Newslo,,OpenSources
politicsintheusa.com,Unreliable,Bias,,,,OpenSources
politicsusanews.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
politicsusanews.com,Fake news,,,,"Panama, Pa.*",Politifact
politicususa.com,Clickbait,Unreliable,,,,OpenSources
pollhype.com,Rumour ,Clickbait,Bias,,,OpenSources
powerpoliticians.com,Unreliable,,,,,OpenSources
pravda.ru,Bias,Rumour,Conspiracy,,,OpenSources
pravdareport.com,Bias,Rumour,Conspiracy,redirects to pravda.ru,,OpenSources
prepperwebsite.com,Conspiracy,Fake news,,,,OpenSources
president45donaldtrump.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
president45donaldtrump.com,Fake news,,,,"Burlington, Mass. ~",Politifact
presidentialvoting2016.com,Political,Bias,Unreliable,,,OpenSources
presstv.com,Bias,Unreliable,,,,OpenSources
presstv.ir,Bias,Unreliable,,redirects to presstv.com,,OpenSources
prisonplanet.com,Conspiracy,,,,,OpenSources
prisonplanet.com,Conspiracy,,,,,OpenSources
prisonplanet.tv,Conspiracy,,,,,OpenSources
prntly.com,Fake news,,,,,OpenSources
prntly.com,Fake news,,,,"Nobby Beach, Australia !!",Politifact
proamericanews.com,Fake news,,,,,OpenSources
progressivestoday.com,Bias,,,https://mediabiasfactcheck.com/progressives-today/,,OpenSources
projectveritas.com,Bias,Unreliable,Political,,,OpenSources
proudcons.com,Fake news,Bias,,,,OpenSources
proudemocrat.com,Political,,,,,OpenSources
proudleader.com,Fake news,,,,"North Waterboro, Me.",Politifact
qpolitical.com,Bias,Clickbait,Junksci,,,OpenSources
rawforbeauty.com,Junksci,,,,,OpenSources
rawstory.com,Political,Clickbait,,,,OpenSources
react365.com,Fake news,,,fake news generator for pranking friends,,OpenSources
readconservatives.news,Bias,Fake news,Clickbait,,,OpenSources
readconservatives.news,Fake news,,,,"Kirkland, Wash.***",Politifact
reagancoalition.com,Bias,Fake news,Clickbait,,,OpenSources
realfarmacy.com,Junksci,Conspiracy,,,,OpenSources
realnewsrightnow.com,Fake news,Satire,,,,OpenSources
realnewsrightnow.com,Parody site,,,,"Los Angeles, Calif.",Politifact
realplanetnews.com,Junksci,,,,,OpenSources
realtimepolitics.com,Bias,Unreliable,,,,OpenSources
redcountry.us,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
redcountry.us,Fake news,,,,"Veles, Macedonia",Politifact
redflagnews.com,Bias,Conspiracy,Unreliable,,,OpenSources
redinfo.us,Fake news,,,,"Veles, Macedonia",Politifact
redrocktribune.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
redrocktribune.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
redstate.com,Political,Clickbait,,,,OpenSources
redstatewatcher.com,Bias,Clickbait,,,,OpenSources
reductress.com,Satire,,,,,OpenSources
regated.com,Bias,,,,,OpenSources
religionlo.com,Parody site,,,,"Jerusalem, Israel",Politifact
religionlo.com,Satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
religionmind.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
religionmind.com,Fake news,,,,"Balangoda, Sri Lanka",Politifact
remedydaily.com,Clickbait, ,,,,OpenSources
rense.com,Conspiracy,Junksci,,,,OpenSources
resistancereport.com,Political,Unreliable,,http://www.politifact.com/personalities/resistance-report/,,OpenSources
responsibletechnology.org,Junksci,,,,,OpenSources
returnofkings.com,Hate,,,,,OpenSources
revolutions2040.com,Junksci,Clickbait,,,,OpenSources
rhotv.com,Fake news,,,,,OpenSources
rickwells.us,Fake news,Conspiracy,,,,OpenSources
rightalert.com,Bias,Unreliable,,,,OpenSources
rightwingnews.com,Bias,Unreliable,,,,OpenSources
rilenews.com,Fake news,Satire,,,,OpenSources
rinf.com,Political,,,,,OpenSources
rockcitytimes.com,Satire,,,,,OpenSources
rogue-nation3.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
rogue-nation3.com,Fake news,,,,"Quebec, Canada",Politifact
ronpaulinstitute.org,Political,,,,,OpenSources
rumourjournal.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
rumourjournal.com,Fake news,,,,"Panama, Pa. *",Politifact
rumourmillnews.com,Conspiracy,Junksci,Rumour,,,OpenSources
ruptly.tv,Political,,,owned by RT,,OpenSources
russia-insider.com,Bias,Clickbait,,,,OpenSources
satiratribune.com,Parody site,,,,"Scottsdale, Ariz. **",Politifact
satiratribune.com,Satire,,,,,OpenSources
satirewire.com,Satire,,,,,OpenSources
scrappleface.com,Satire,,,,,OpenSources
secretsofthefed.com,Conspiracy,Junksci,,,,OpenSources
sensationalisttimes.com,Satire,,,,,OpenSources
sentinelblog.com,Conspiracy,Junksci,,,,OpenSources
shareblue.com,Unreliable,Political,Bias,My analysis is similar to this site: https://mediabiasfactcheck.com/shareblue/,,OpenSources
sheepkillers.com,Conspiracy,Junksci,,,,OpenSources
shoebat.com,Conspiracy,Bias,,,,OpenSources
silver-coin-investor. com,Conspiracy,Bias,Unreliable,,,OpenSources
silverbearcafe.com,Conspiracy,,,,,OpenSources
silverdoctors.com,Conspiracy,Bias,,,,OpenSources
silverstealers.net,Conspiracy,,,,,OpenSources
sjlendman.blogspot.com,Bias,,,,,OpenSources
skeptiko.com,Conspiracy,Junksci,,,,OpenSources
smag31.com,Fake news,Unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
smag31.com,Some fake stories,,,,"Dundalk, Ireland",Politifact
socialeverythings.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
socialeverythings.com,Fake news,,,,"Mahawela, Sri Lanka",Politifact
sonsoflibertyradio.com,Conspiracy,Bias, Unreliable,,,OpenSources
southernconservativeextra.com,Fake news,,,,Came up as available for use,Politifact
sovereignman.com,Unreliable,,,,,OpenSources
speld.nl,Satire,,,,,OpenSources
spinzon.com,Fake news,,,,"Panama, Pa. *",Politifact
sportspickle.com,Satire,,,,,OpenSources
sputniknews.com,Bias,State,Fake news,,,OpenSources
states-tv.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
stneotscitizen.com,Satire,,,,,OpenSources
stormcloudsgathering.com,Fake news,,,,,OpenSources
stuppid.com,Satire,,,,,OpenSources
subjectpolitics.com,Fake news,Bias,,,,OpenSources
success-street.com,Fake news,Clickbait,,http://success-street.com/2017/01/18/wow-obama-orders-life-sized-bronze-statute-permanently-installed-white-house/,,OpenSources
success-street.com,Fake news,,,,"Kumanovo, Macedonia",Politifact
supremepatriot.com,Fake news,Bias,,,,OpenSources
supremepatriot.com,Fake news,,,,"Panama, Pa. *",Politifact
surrealscoop.com,Satire,,,,,OpenSources
tdtalliance.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
tdtalliance.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
teaparty.org,Fake news,Unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
teaparty.org,Some fake stories,,,,"Laguna Woods, Calif.",Politifact
